,site,crit,browser,i,lt,fp,fcp,e
4_0_2,cam,0,chrome,2,1746,1403.1,1403.1,11.032718036
4_0_3,cam,0,chrome,3,1665,1163.4,1163.4,4.240419393
4_0_4,cam,0,chrome,4,1932,1425,1425,8.136695069999998
4_0_5,cam,0,chrome,5,1651,1175.8,1175.8,7.348180840499999
4_0_6,cam,0,chrome,6,1821,1294.1,1294.1,5.7109772350000005
4_0_7,cam,0,chrome,7,1974,1313.8,1313.8,7.6868825545
4_0_8,cam,0,chrome,8,1706,1174.2,1174.2,11.270428833
4_0_9,cam,0,chrome,9,1801,1400,1400,6.254528758999999
4_1_0,cam,0,firefox,0,1961,1213.2,752,23.2894390135
4_1_1,cam,0,firefox,1,2987,1135.5,753,22.7071664575
4_1_2,cam,0,firefox,2,1911,1135.5,800,21.571352308
4_1_3,cam,0,firefox,3,1848,1596.8,782,14.334407994
4_1_4,cam,0,firefox,4,2045,1375.5,811,13.330031921499998
4_1_5,cam,0,firefox,5,2019,738.2,848,15.353598984500003
4_1_6,cam,0,firefox,6,3034,352.5,756,14.2809592865
4_1_7,cam,0,firefox,7,1992,364.2,812,15.7695760085
4_1_8,cam,0,firefox,8,1888,375.4,780,14.670497848999998
4_1_9,cam,0,firefox,9,1948,1143.3,847,24.744345125
5_0_0,eff,1,chrome,0,1230,1415.2,1415.2,5.630095897
5_0_1,eff,1,chrome,1,1235,1393.1,1393.1,4.295262023000001
5_0_2,eff,1,chrome,2,1247,1411.8,1411.8,6.3160679785
5_0_3,eff,1,chrome,3,1190,1422.5,1422.5,4.329290638500002
5_0_4,eff,1,chrome,4,1219,1395.7,1395.7,3.478622327
5_0_5,eff,1,chrome,5,1215,1395.6,1395.6,9.7420106495
5_0_6,eff,1,chrome,6,1176,1411.4,1411.4,3.6693373445000006
5_0_7,eff,1,chrome,7,1230,1402.8,1402.8,5.509655314000001
5_0_8,eff,1,chrome,8,1223,1392.8,1392.8,4.769429207
5_0_9,eff,1,chrome,9,1214,1448.6,1448.6,4.082143132500001
5_1_0,eff,1,firefox,0,865,1375.5,652,10.613719587
5_1_1,eff,1,firefox,1,900,1567.6,659,9.78710237
5_1_2,eff,1,firefox,2,857,1113.1,641,14.024630635500005
5_1_3,eff,1,firefox,3,858,1113.1,636,8.088677725499998
5_1_4,eff,1,firefox,4,825,1113.1,615,6.24135498
5_1_5,eff,1,firefox,5,876,1179.3,630,9.129996711
5_1_6,eff,1,firefox,6,897,364.2,653,6.161206798
5_1_7,eff,1,firefox,7,828,1022.2,638,8.15661149
5_1_8,eff,1,firefox,8,838,1411.4,621,14.003990630500002
5_1_9,eff,1,firefox,9,838,971.5,612,14.483790162000002
6_0_0,etsy,0,chrome,0,1827,1376.1,1376.1,6.119050497499999
6_0_1,etsy,0,chrome,1,1729,1375.5,1375.5,5.104406894499999
6_0_2,etsy,0,chrome,2,1516,1211,1211,4.5513721165
6_0_3,etsy,0,chrome,3,1782,1402.2,1402.2,9.805015362
6_0_4,etsy,0,chrome,4,1668,1237.1,1237.1,6.410118754999999
6_0_5,etsy,0,chrome,5,1661,1424.5,1424.5,7.4632452685
6_0_6,etsy,0,chrome,6,1679,1238.4,1238.4,8.992514043499998
6_0_7,etsy,0,chrome,7,1650,1359.6,1359.6,5.35456057
6_0_8,etsy,0,chrome,8,1692,1245,1245,5.670421532999999
6_0_9,etsy,0,chrome,9,1632,1387.2,1387.2,5.610091721
6_1_0,etsy,0,firefox,0,3724,927.1,1580,9.14198893
6_1_1,etsy,0,firefox,1,2593,1646.6,563,10.497644864999998
6_1_2,etsy,0,firefox,2,2134,1895,1556,9.739427348999998
6_1_3,etsy,0,firefox,3,1587,875.5,1151,11.448320044
6_1_4,etsy,0,firefox,4,2350,1402.2,1575,9.294267305
6_1_5,etsy,0,firefox,5,2417,1424.5,1955,15.905425149
6_1_6,etsy,0,firefox,6,2217,1143.3,1599,10.3117797955
6_1_7,etsy,0,firefox,7,1402,1545.5,672,14.869217046499998
6_1_8,etsy,0,firefox,8,2245,1245,1560,9.756214378
6_1_9,etsy,0,firefox,9,1392,1609.4,589,11.003388260999998
7_0_0,,,,,,,,20.064415806
7_0_1,,,,,,,,18.4337055055
7_0_2,,,,,,,,14.444839212999998
7_0_3,,,,,,,,17.458867184500004
7_0_4,,,,,,,,9.067505603
7_0_5,,,,,,,,14.4183695215
7_0_6,,,,,,,,12.168436133
7_0_7,,,,,,,,11.9616682055
7_0_8,,,,,,,,14.313831681
7_0_9,,,,,,,,13.980575342
7_1_0,lazada,1,firefox,0,2508,1135.5,1114,42.964052071
7_1_1,lazada,1,firefox,1,2553,989.2,1007,28.2359663075
7_1_2,lazada,1,firefox,2,2656,1211,1180,23.162157493500008
7_1_3,lazada,1,firefox,3,2589,875.5,1353,27.430767067
7_1_4,lazada,1,firefox,4,2650,1585.9,1064,33.2918422915
7_1_5,lazada,1,firefox,5,2457,364.2,837,35.594244368
7_1_6,lazada,1,firefox,6,2583,1143.3,1097,33.750790455499995
7_1_7,lazada,1,firefox,7,2767,745.8,1295,28.4017597285
7_1_8,lazada,1,firefox,8,2604,373.6,1046,19.4401255685
7_1_9,lazada,1,firefox,9,2554,1568.5,1014,24.875523986
8_0_0,etsy,1,chrome,0,1296,1001.9,1001.9,5.9042700875000005
8_0_1,etsy,1,chrome,1,1330,989.2,989.2,5.4288377400000005
8_0_2,etsy,1,chrome,2,1124,799.5,799.5,7.893040289500001
8_0_3,etsy,1,chrome,3,1340,1012,1012,6.228855574000001
8_0_4,etsy,1,chrome,4,1231,826.4,826.4,4.546731341499999
8_0_5,etsy,1,chrome,5,1367,1022.2,1022.2,6.9029883325
8_0_6,etsy,1,chrome,6,1393,1019.2,1019.2,5.409573351
8_0_7,etsy,1,chrome,7,1406,1043.5,1043.5,6.6635146575
8_0_8,etsy,1,chrome,8,1372,1006.2,1006.2,4.622840429999999
8_0_9,etsy,1,chrome,9,1505,1142.2,1142.2,4.5753173535
